topic,subtopic,beginner_answer,source_name,source_url,source_type,trust_level,notes,last_checked
investing_basics,what_is_investing,"Investing means putting money into products like shares, bonds, ETFs, REITs, or funds with the aim of growing wealth over time, while accepting risk.",MoneySense,https://www.moneysense.gov.sg/investments/what-is-investing/,Official education,High,"Use for basic investing definitions.",2026-07-09
investment_products,types_of_investments,"Common investment products include shares, bonds, unit trusts, ETFs, and REITs. Each has different risks, fees, liquidity, and return potential.",MoneySense,https://www.moneysense.gov.sg/investments/types-of-investments/,Official education,High,"Use for product comparison answers.",2026-07-09
etf,definition,"An ETF is an investment fund listed and traded on a stock exchange. Many ETFs aim to track an index and can give diversified exposure.",MoneySense,https://www.moneysense.gov.sg/guide-to-etfs-understanding-exchange-traded-funds/,Official education,High,"Use for ETF explanations.",2026-07-09
shares,definition,"A share represents ownership in a company. Investors may earn dividends or capital gains, but share prices can fall.",MoneySense,https://www.moneysense.gov.sg/guide-to-shares-what-you-need-to-know-before-you-invest/,Official education,High,"Use for stock/share beginner explanations.",2026-07-09
portfolio,diversification,"A portfolio should consider goals, risk, diversification, allocation, rebalancing, and performance review.",MoneySense,https://www.moneysense.gov.sg/investments/investment-portfolio/,Official education,High,"Use for portfolio construction and diversification.",2026-07-09
emergency_fund,before_investing,"A beginner should normally build emergency savings before taking investment risk. Money needed soon should not usually be placed in volatile assets.",MoneySense,https://www.moneysense.gov.sg/managing-your-money/,Official education,High,"Use for short-horizon and low-risk questions.",2026-07-09
financial_planning,basic_guide,"Basic financial planning includes budgeting, saving, insurance, and investing according to life stage and needs.",MoneySense,https://www.moneysense.gov.sg/planning-your-finances-well/,Official education,High,"Use for holistic planning answers.",2026-07-09
sgx,market_context,"SGX is Singapore's exchange. Use SGX resources for local listed securities, ETFs, REITs, and market context.",SGX,https://www.sgx.com/,Official market source,High,"Use for Singapore-listed market context.",2026-07-09
sgx,etf_screener,"SGX provides ETF information such as listings, performance, yield, and expense data through its ETF screener.",SGX,https://www.sgx.com/securities/etf-screener,Official market source,High,"Use for ETF shortlist source basis.",2026-07-09
sti_etf,spdr_sti_etf,"The SPDR STI ETF gives diversified exposure to the Singapore stock market through companies in the Straits Times Index.",SGX Links,https://links.sgx.com/1.0.0/corporate-announcements/XB9G94U06LBUK5GM/893782_2026%20Second%20Replacement%20Prospectus%20State%20Street%20SPDR%20STI%20ETF%2008E_LB%20Signed.pdf,Prospectus,High,"Use carefully; prospectus details may change.",2026-07-09
ssb,singapore_savings_bonds,"Singapore Savings Bonds are government-backed savings bonds designed for individuals seeking a safer savings/investment route.",Singapore Savings Bonds,https://www.ssb.gov.sg/,Official government source,High,"Use for SSB safety-first route.",2026-07-09
t_bill,treasury_bills,"Singapore T-bills are short-term government securities. Yield depends on auction results and money is locked for the tenor.",MAS,https://www.mas.gov.sg/bonds-and-bills/Singapore-Government-T-bills,Official government source,High,"Use for safer short-term route.",2026-07-09
cpf,cpf_investing,"CPF investment decisions should be explained carefully because CPF savings have retirement and policy implications.",CPF Board,https://www.cpf.gov.sg/member/growing-your-savings/earning-higher-returns/investing-your-cpf-savings,Official government source,High,"Use for CPFIS high-level explanation.",2026-07-09
scams,investor_alert_list,"Users should check the MAS Investor Alert List and avoid pressure tactics, guaranteed returns, and unregulated sellers.",MAS,https://www.mas.gov.sg/investor-alert-list,Official regulator,High,"Use for scam mode.",2026-07-09
regulated_firms,financial_institutions_directory,"Users can check whether a financial institution is regulated through MAS resources before trusting platforms or advisers.",MAS,https://eservices.mas.gov.sg/fid,Official regulator,High,"Use for platform safety answers.",2026-07-09
market_news,global_markets,"Reuters market news can provide timely global market context, but news should not be treated as a buy/sell instruction.",Reuters,https://www.reuters.com/markets/,News source,Medium,"Use for market pulse/news context.",2026-07-09
market_news,singapore_business,"CNA Business can provide Singapore and regional business news context for beginner-friendly market translations.",CNA Business,https://www.channelnewsasia.com/business,News source,Medium,"Use for market pulse/news context.",2026-07-09
market_news,singapore_markets,"The Business Times markets section can provide Singapore business and market news context.",The Business Times,https://www.businesstimes.com.sg/markets,News source,Medium,"Use for local market pulse/news context.",2026-07-09
data_api,alpha_vantage_quotes,"Alpha Vantage offers APIs for market data and news sentiment; n8n can call it through HTTP Request nodes.",Alpha Vantage,https://www.alphavantage.co/documentation/,API documentation,Medium,"Use as technical source for live quote/news workflow.",2026-07-09
n8n,google_sheets_node,"n8n Google Sheets nodes can append rows, append/update rows, and read rows from sheets for memory and logging.",n8n Docs,https://docs.n8n.io/integrations/builtin/app-nodes/n8n-nodes-base.googlesheets/,Technical documentation,High,"Use for workflow documentation.",2026-07-09
n8n,ai_agent_node,"n8n AI Agent nodes can use tools and external data to answer questions based on the workflow environment.",n8n Docs,https://docs.n8n.io/integrations/builtin/cluster-nodes/root-nodes/n8n-nodes-langchain.agent/,Technical documentation,High,"Use for workflow documentation.",2026-07-09
